instance family sat restarting3 restarting3con10000 parallel3t32 parallel3t32con10000 nonsharing3t32 mpi3h6t16npn2bt32con10000
si4_b06m_m400.01 4 1 10 8 81 97 83 71
si4_b06m_m400.08 4 1 7 10 86 89 70 68
si4_b06m_m400.05 4 1 11 8 84 86 81 67
si4_b06m_m400.07 4 1 13 13 95 89 84 68
si4_b06m_m400.00 4 1 10 9 91 84 66 67
si4_b06m_m400.04 4 1 10 6 93 81 80 68
si4_b06m_m400.09 4 1 10 6 92 94 90 66
si4_b06m_m400.02 4 1 10 6 87 94 78 67
si2_m4Dr2_m625.05 6 1 20 19 110 112 99 80
si2_m4Dr2_m625.00 6 1 26 26 120 119 104 80
si2_m4Dr2_m625.08 6 1 14 15 116 120 95 78
si2_m4Dr2_m625.09 6 1 15 12 114 116 102 81
si2_m4Dr2_m625.06 6 1 11 14 101 116 103 79
si2_m4Dr2_m625.04 6 1 14 11 112 113 115 83
si2_m4Dr2_m625.01 6 1 19 21 105 120 100 80
si2_m4Dr2_m625.03 6 1 15 14 98 120 100 79
si2_m4Dr2_m625.02 6 1 12 13 122 103 108 80
si2_m4Dr2_m625.07 6 1 13 16 124 112 97 80
si2_r005_m200.02 7 1 6 6 26 25 25 39
si2_r005_m200.01 7 1 104 389 180 48 70 40
si2_r005_m200.03 7 1 33 44 28 29 28 40
si2_r005_m200.05 7 1 168 107 79 40 119 58
si2_r005_m200.08 7 1 2069 1698 260 47 406 72
si2_r005_m200.04 7 1 2560 3612 592 1044 1210 130
si2_r005_m200.09 7 1 8 20 28 24 24 38
si2_r005_m200.06 7 1 93 83 32 49 43 47
si2_r005_m200.00 7 1 396 441 110 40 159 43
si2_r005_m200.07 7 1 29 26 36 31 26 40
si4_b03m_m400.03 4 1 6 6 68 89 47 63
si4_b03m_m400.09 4 1 5 6 89 90 44 64
si4_b03m_m400.08 4 1 8 5 95 85 79 64
si4_b03m_m400.04 4 1 5 8 91 87 67 64
si4_b03m_m400.00 4 1 8 5 80 78 69 64
si4_b03m_m400.01 4 1 9 5 83 92 69 65
si4_b03m_m400.07 4 1 8 7 92 87 71 65
si4_b03m_m400.02 4 1 5 6 95 97 61 65
si4_b03m_m400.06 4 1 5 8 81 84 87 66
si4_b03m_m400.05 4 1 5 8 95 86 68 65
si2_r01_m600.01 7 1 33507 39253 6052 6783 18700 4318
si2_r01_m600.06 7 1 82792 111344 12490 16354 54880 3803
si2_r01_m600.09 7 1 481577 353567 52026 42168 323213 25219
si2_r01_m600.08 7 1 724277 493779 48142 51842 370018 6849
si2_r01_m600.04 7 1 347530 330285 34347 31905 191235 12114
si2_r01_m600.02 7 1 510562 473745 47663 42715 100152 6283
si2_r01_m600.00 7 1 469546 414589 37361 40241 182160 37993
si2_r01_m600.07 7 1 106109 58225 10015 13405 36358 11526
si2_r01_m600.03 7 1 92262 198543 22477 20522 75026 16719
si2_r01_m600.05 7 1 60131 58981 11100 11415 28716 2172
si4_m4Dr6_m256.01 6 1 5 3 41 49 44 43
si4_m4Dr6_m256.00 6 1 7 6 43 45 40 43
si4_m4Dr6_m256.05 6 1 6 6 46 37 39 43
si4_m4Dr6_m256.08 6 1 6 5 51 41 37 44
si4_m4Dr6_m256.03 6 1 3 4 44 46 33 43
si4_m4Dr6_m256.06 6 1 5 6 42 49 32 43
si4_m4Dr6_m256.09 6 1 3 3 41 46 47 43
si4_m4Dr6_m256.07 6 1 10 8 44 41 44 44
si4_m4Dr6_m256.02 6 1 3 6 49 52 35 43
si4_m4Dr6_m256.04 6 1 6 3 40 44 27 43
si2_b03m_m400.02 4 1 4 6 60 52 43 46
si2_b03m_m400.00 4 1 3 3 58 60 42 45
si2_b03m_m400.01 4 1 3 3 48 50 47 45
si2_b03m_m400.05 4 1 6 4 58 53 47 45
si2_b03m_m400.08 4 1 4 4 54 52 36 45
si2_b03m_m400.07 4 1 6 4 55 54 36 45
si2_b03m_m400.09 4 1 2 5 56 54 38 46
si2_b03m_m400.03 4 1 6 3 56 49 38 45
si2_b03m_m400.04 4 1 3 4 58 55 47 46
si2_b03m_m400.06 4 1 5 4 52 58 46 44
si2_b03m_m200.05 4 1 1 1 26 23 22 30
si2_b03m_m200.03 4 1 0 1 23 25 19 30
si2_b03m_m200.00 4 1 1 2 23 22 20 30
si2_b03m_m200.08 4 1 1 1 26 22 21 30
si2_b03m_m200.06 4 1 1 1 24 22 24 31
si2_b03m_m200.02 4 1 1 1 22 26 22 30
si2_b03m_m200.09 4 1 1 1 22 22 23 30
si2_b03m_m200.04 4 1 1 1 23 22 18 30
si2_b03m_m200.01 4 1 0 0 24 24 24 30
si2_b03m_m200.07 4 1 1 1 22 24 22 31
si4_r001_m200.04 7 1 1 1 34 31 31 36
si4_r001_m200.07 7 1 3 2 30 32 32 36
si4_r001_m200.00 7 1 1 2 36 35 35 35
si4_r001_m200.01 7 1 2 1 35 30 25 36
si4_r001_m200.03 7 1 2 3 32 26 30 35
si4_r001_m200.06 7 1 2 2 33 31 29 36
si4_r001_m200.05 7 1 2 1 30 26 26 36
si4_r001_m200.08 7 1 3 3 34 33 31 36
si4_r001_m200.09 7 1 2 3 36 34 31 36
si4_r001_m200.02 7 1 2 3 34 27 25 36
si2_m4D_m256.08 5 1 4 2 32 27 28 35
si2_m4D_m256.03 5 1 3 2 31 28 26 34
si2_m4D_m256.02 5 1 2 2 27 32 32 34
si2_m4D_m256.06 5 1 3 2 33 33 29 34
si2_m4D_m256.04 5 1 2 1 28 26 31 34
si2_m4D_m256.07 5 1 1 3 32 34 22 35
si2_m4D_m256.01 5 1 2 3 31 29 31 34
si2_m4D_m256.09 5 1 2 2 31 31 25 35
si2_m4D_m256.00 5 1 1 1 32 32 26 35
si2_m4D_m256.05 5 1 3 3 30 32 27 35
si6_r01_m400.04 7 1 476 447 233 215 229 240
si6_r01_m400.08 7 1 634 1334 411 283 429 286
si6_r01_m400.07 7 1 122 138 219 250 219 232
si6_r01_m400.06 7 1 286 217 360 373 343 247
si6_r01_m400.05 7 1 449 1205 298 301 354 319
si6_r01_m400.02 7 1 461 195 283 335 310 296
si6_r01_m400.00 7 1 377 306 236 242 213 259
si6_r01_m400.03 7 1 1143 845 523 540 811 300
