instance family mcsplitdown14 mcsplitdownbiasedrestarts14
si4_m4Dr2_m1296.03 6 44 41
si4_m4Dr2_m1296.09 6 35 40
si6_b09_m800.03 3 17 22
si6_b09_m800.09 3 16 20
si6_b09_m800.07 3 15 19
si6_b09_m800.05 3 18 22
si6_b09_m800.04 3 22 17
si6_b09_m800.01 3 17 20
si6_b09_m800.00 3 17 24
si6_b09_m800.02 3 16 17
si6_b09_m800.06 3 16 18
si6_b09_m800.08 3 18 13
si6_b06m_m400.00 4 5 6
si6_b06m_m400.08 4 7 5
si6_b06m_m400.03 4 4 6
si6_b06m_m400.04 4 5 5
si6_b06m_m400.06 4 5 6
si6_b06m_m400.07 4 5 5
si6_b06m_m400.09 4 5 6
si6_b06m_m400.02 4 6 5
si6_b06m_m400.01 4 5 5
si6_b06m_m400.05 4 4 6
si2_m4Dr4_m1296.08 6 47 35
si2_m4Dr4_m1296.07 6 26 21
si2_m4Dr4_m1296.03 6 33 24
si2_m4Dr4_m1296.05 6 20 24
si2_m4Dr4_m1296.06 6 18 19
si2_m4Dr4_m1296.04 6 866 29
si2_m4Dr4_m1296.09 6 27 36
si2_m4Dr4_m1296.01 6 21 32
si2_m4Dr4_m1296.00 6 28 22
si2_m4Dr4_m1296.02 6 31 29
si6_m4Dr6_m1296.02 6 49 57
si6_m4Dr6_m1296.08 6 49 60
si6_m4Dr6_m1296.07 6 45 56
si6_m4Dr6_m1296.06 6 51 49
si6_m4Dr6_m1296.03 6 52 56
si6_m4Dr6_m1296.04 6 45 55
si6_m4Dr6_m1296.05 6 54 57
si6_m4Dr6_m1296.00 6 54 58
si6_m4Dr6_m1296.09 6 51 69
si6_m4Dr6_m1296.01 6 61 63
si4_m4Dr2_m256.00 6 3 3
si4_m4Dr2_m256.01 6 2 2
si4_m4Dr2_m256.05 6 2 2
si4_m4Dr2_m256.04 6 2 1
si4_m4Dr2_m256.08 6 1 1
si4_m4Dr2_m256.07 6 1 2
si4_m4Dr2_m256.06 6 1 1
si4_m4Dr2_m256.02 6 1 1
si4_m4Dr2_m256.09 6 1 2
si4_m4Dr2_m256.03 6 1 1
si4_b09m_m200.01 4 1 2
si4_b09m_m200.00 4 1 1
si4_b09m_m200.03 4 1 1
si4_b09m_m200.06 4 1 1
si4_b09m_m200.02 4 0 1
si4_b09m_m200.04 4 1 1
si4_b09m_m200.05 4 1 0
si4_b09m_m200.07 4 0 1
si4_b09m_m200.08 4 1 1
si4_b09m_m200.09 4 0 0
si4_m4Dr4_m625.07 6 6 9
si4_m4Dr4_m625.05 6 8 8
si4_m4Dr4_m625.01 6 12 8
si4_m4Dr4_m625.08 6 9 9
si4_m4Dr4_m625.09 6 11 15
si4_m4Dr4_m625.00 6 16 17
si4_m4Dr4_m625.04 6 8 13
si4_m4Dr4_m625.06 6 8 13
si4_m4Dr4_m625.03 6 6 6
si4_m4Dr4_m625.02 6 11 7
si4_m4Dr4_m1296.03 6 40 38
si4_m4Dr4_m1296.01 6 41 32
si4_m4Dr4_m1296.00 6 34 32
si4_m4Dr4_m1296.07 6 38 34
si4_m4Dr4_m1296.02 6 34 38
si4_m4Dr4_m1296.04 6 33 43
si4_m4Dr4_m1296.09 6 31 34
si4_m4Dr4_m1296.06 6 50 74
si4_m4Dr4_m1296.08 6 35 36
si4_m4Dr4_m1296.05 6 57 40
si2_r005_m400.05 7 613 684
si2_r005_m400.06 7 249 309
si2_r005_m400.08 7 291 313
si2_r005_m400.02 7 955 965
si2_r005_m400.03 7 155 214
si2_r005_m400.00 7 445 522
si2_r005_m400.07 7 449 489
si2_r005_m400.09 7 84 46
si2_r005_m400.04 7 191 239
si2_r005_m400.01 7 27 27
si2_b06m_m400.03 4 1 2
si2_b06m_m400.06 4 2 2
si2_b06m_m400.05 4 2 2
si2_b06m_m400.01 4 2 1
si2_b06m_m400.00 4 2 3
si2_b06m_m400.08 4 2 3
si2_b06m_m400.07 4 2 2
si2_b06m_m400.09 4 2 1
si2_b06m_m400.04 4 2 3
si2_b06m_m400.02 4 2 2
si6_r005_m600.02 7 33 49
si6_r005_m600.08 7 13 19
si6_r005_m600.03 7 12 28
si6_r005_m600.05 7 13 34
si6_r005_m600.07 7 28 37
si6_r005_m600.04 7 16 36
si6_r005_m600.06 7 89 68
si6_r005_m600.01 7 14 18
si6_r005_m600.09 7 15 32
si6_r005_m600.00 7 16 17
si6_r005_m200.02 7 6 4
si6_r005_m200.08 7 3 5
si6_r005_m200.09 7 3 4
si6_r005_m200.05 7 12 18
si6_r005_m200.03 7 2 3
si6_r005_m200.00 7 8 17
si6_r005_m200.04 7 1 2
si6_r005_m200.07 7 2 2
si6_r005_m200.01 7 1 3
si6_r005_m200.06 7 1 2
si2_m4Dr6_m625.06 6 6 9
si2_m4Dr6_m625.08 6 4 5
si2_m4Dr6_m625.07 6 9 7
si2_m4Dr6_m625.03 6 8 6
si2_m4Dr6_m625.04 6 8 17
si2_m4Dr6_m625.05 6 6 6
si2_m4Dr6_m625.09 6 8 8
si2_m4Dr6_m625.01 6 13 12
si2_m4Dr6_m625.02 6 12 7
si2_m4Dr6_m625.00 6 5 6
si6_b03_m800.02 3 13 18
si6_b03_m800.04 3 19 19
si6_b03_m800.03 3 13 18
si6_b03_m800.05 3 16 20
si6_b03_m800.06 3 17 16
si6_b03_m800.01 3 14 14
si6_b03_m800.00 3 13 23
si6_b03_m800.07 3 17 15
si6_b03_m800.09 3 16 19
si6_b03_m800.08 3 15 16
si4_m4D_m1296.09 5 42 44
si4_m4D_m1296.06 5 31 46
si4_m4D_m1296.05 5 30 43
si4_m4D_m1296.00 5 385 584
si4_m4D_m1296.03 5 184 62
si4_m4D_m1296.04 5 64 48
si4_m4D_m1296.08 5 NaN 7749
si4_m4D_m1296.02 5 57 53
si4_m4D_m1296.01 5 48 50
si4_m4D_m1296.07 5 30 38
si6_b03m_m400.03 4 5 5
si6_b03m_m400.01 4 6 6
si6_b03m_m400.09 4 5 4
si6_b03m_m400.08 4 5 4
si6_b03m_m400.07 4 4 4
si6_b03m_m400.02 4 3 4
si6_b03m_m400.05 4 5 6
si6_b03m_m400.00 4 5 4
si6_b03m_m400.06 4 5 4
si6_b03m_m400.04 4 3 5
si4_m4D_m256.07 5 1 1
si4_m4D_m256.06 5 1 1
si4_m4D_m256.05 5 1 1
si4_m4D_m256.08 5 2 3
si4_m4D_m256.04 5 2 2
si4_m4D_m256.09 5 1 2
si4_m4D_m256.02 5 1 1
si4_m4D_m256.00 5 2 3
si4_m4D_m256.03 5 1 1
si4_m4D_m256.01 5 1 1
si6_b06m_m800.07 4 19 23
